par,ai,ci,nominal,efeito,cenario,media,ic95_inf,ic95_sup,N_instancias
amostra_10,8,19,False,assistencia_fuga_desligada,adaptativa,-0.010416666666666661,-0.11334344250977405,0.09251010917644073,4
amostra_10,8,19,False,assistencia_fuga_desligada,centralizada,0.0010416666666666682,-0.054528667939956,0.05661200127328934,4
amostra_10,8,19,False,assistencia_fuga_ligada,adaptativa,0.010416666666666663,-0.015261586542839852,0.03609491987617318,4
amostra_10,8,19,False,assistencia_fuga_ligada,centralizada,-0.026041666666666657,-0.1094465937229003,0.05736326038956699,4
amostra_10,8,19,False,fuga_assistencia_limiar,adaptativa,-0.03125,-0.09017958642506096,0.02767958642506097,4
amostra_10,8,19,False,fuga_assistencia_limiar,centralizada,-0.008333333333333337,-0.06246784431771294,0.045801177651046264,4
amostra_10,8,19,False,fuga_assistencia_logistica,adaptativa,-0.010416666666666673,-0.06414363475835365,0.0433103014250203,4
amostra_10,8,19,False,fuga_assistencia_logistica,centralizada,-0.035416666666666666,-0.08276502607680047,0.011931692743467143,4
amostra_10,8,19,False,total_v2_menos_v1,adaptativa,-0.020833333333333336,-0.09984005105640525,0.058173384389738576,4
amostra_10,8,19,False,total_v2_menos_v1,centralizada,-0.034374999999999996,-0.07608844219449845,0.00733844219449846,4
amostra_11,79,49,False,assistencia_fuga_desligada,contraste_A_menos_C,-0.007291666666666653,-0.12166483437416746,0.10708150104083415,4
amostra_11,79,49,False,assistencia_fuga_ligada,contraste_A_menos_C,0.0010416666666666716,-0.07596931313118022,0.07805264646451357,4
amostra_11,79,49,False,fuga_assistencia_limiar,contraste_A_menos_C,0.03437500000000002,-0.07340231139571603,0.14215231139571605,4
amostra_11,79,49,False,fuga_assistencia_logistica,contraste_A_menos_C,0.04270833333333334,-0.07826443422032975,0.16368110088699642,4
amostra_11,79,49,False,total_v2_menos_v1,contraste_A_menos_C,0.03541666666666669,-0.07073391788069411,0.14156725121402747,4
amostra_11,79,49,False,interacao,contraste_A_menos_C,0.008333333333333333,-0.1555968353763319,0.17226350204299856,4
amostra_11,79,49,False,assistencia_fuga_desligada,adaptativa,-0.014583333333333328,-0.07546961896967483,0.046302952303008175,4
amostra_11,79,49,False,assistencia_fuga_desligada,centralizada,-0.007291666666666672,-0.08765452599694194,0.0730711926636086,4
amostra_11,79,49,False,assistencia_fuga_ligada,adaptativa,0.01666666666666667,-0.0737557936507511,0.10708912698408443,4
amostra_11,79,49,False,assistencia_fuga_ligada,centralizada,0.015625,-0.013211473831992861,0.044461473831992865,4
amostra_11,79,49,False,fuga_assistencia_limiar,adaptativa,-0.006249999999999995,-0.057176737303437725,0.04467673730343774,4
