par,ai,ci,nominal,canto,cenario,metrica,media,ic95_inf,ic95_sup,N_instancias
amostra_02,17,9,False,00,centralizada,taxa_falha_efetiva,0.3072916666666667,0.2638573654326229,0.3507259679007105,4
amostra_02,17,9,False,00,centralizada,N_req,0.0,0.0,0.0,4
amostra_02,17,9,False,00,centralizada,N_success,0.0,0.0,0.0,4
amostra_02,17,9,False,00,centralizada,N_fail,0.0,0.0,0.0,4
amostra_02,17,9,False,00,centralizada,N_blocked,118.5625,59.35365969964532,177.77134030035467,4
amostra_02,17,9,False,00,centralizada,p2_bloqueio,126.9375,62.75018726946355,191.12481273053646,4
amostra_02,17,9,False,00,centralizada,fracao_porta1,0.5385416666666667,0.45322612389747,0.6238572094358634,4
amostra_02,17,9,False,00,centralizada,fracao_fuga,0.0,0.0,0.0,4
amostra_02,17,9,False,00,centralizada,fracao_fuga_p1,0.0,0.0,0.0,4
amostra_02,17,9,False,00,centralizada,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,00,centralizada,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,00,centralizada,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,00,centralizada,numerador_falha,18.4375,15.831441925957371,21.04355807404263,4
amostra_02,17,9,False,00,centralizada,bateria_media,0.7010087629867267,0.6205860218354532,0.7814315041380001,4
amostra_02,17,9,False,00,centralizada,confianca_media_final,0.25,0.25,0.25,4
amostra_02,17,9,False,10,adaptativa,taxa_falha_efetiva,0.284375,0.2555385261680071,0.3132114738319929,4
amostra_02,17,9,False,10,adaptativa,N_req,105.0,31.781397844309353,178.21860215569063,4
amostra_02,17,9,False,10,adaptativa,N_success,64.25,11.698465139923279,116.80153486007671,4
amostra_02,17,9,False,10,adaptativa,N_fail,40.75,16.813239758266675,64.68676024173332,4
amostra_02,17,9,False,10,adaptativa,N_blocked,17.1875,9.532968202036034,24.842031797963966,4
amostra_02,17,9,False,10,adaptativa,p2_bloqueio,65.375,30.820809758670585,99.92919024132942,4
amostra_02,17,9,False,10,adaptativa,fracao_porta1,0.471875,0.34767492868334393,0.596075071316656,4
amostra_02,17,9,False,10,adaptativa,fracao_fuga,0.0,0.0,0.0,4
