arquivo,semente,cenario,lei,concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,N_req,N_success,N_fail,N_blocked,violacoes
j6013_1.sm,2,adaptativa,crowder_eq3,True,255,69,0.7983270866432272,0.0,2.0,334.0,492.0,2.569854635846618,10.0,111.7188924599601,58,2,18,0,0.03333333333333333,340.0,0.32858497782341206,0.0058823529411764705,0.1812768657328617,35,25,10,0,0
j6013_1.sm,3,centralizada,unitario,True,295,69,0.6971221061931883,0.0,30.8364854683468,234.0,573.0,0.0,124.0,124.95069545134857,45,15,5,0,0.25,340.0,0.36750204544514287,0.09069554549513766,0.1520172634962439,0,0,0,124,0
j6013_1.sm,3,centralizada,crowder_eq3,True,295,69,0.6971221061931883,0.0,30.8364854683468,234.0,573.0,0.0,124.0,124.95069545134857,45,15,5,0,0.25,340.0,0.36750204544514287,0.09069554549513766,0.1520172634962439,0,0,0,124,0
j6013_1.sm,3,adaptativa,unitario,True,245,69,0.6951551212020379,1.7763568394002505e-15,24.474263395218195,301.0,449.0,68.0,22.0,106.89900341035379,55,5,16,0,0.08333333333333333,340.0,0.3144088335598641,0.07198312763299469,0.1655042086238342,90,68,22,0,0
j6013_1.sm,3,adaptativa,crowder_eq3,True,245,69,0.76797255057683,1.7763568394002505e-15,24.474263395218195,301.0,449.0,6.7573097127554735,22.0,106.89900341035379,55,5,16,0,0.08333333333333333,340.0,0.3144088335598641,0.07198312763299469,0.18284075791352036,90,68,22,0,0
j6013_1.sm,4,centralizada,unitario,True,327,69,0.7367593872252084,0.0,20.78157160078248,230.0,560.0,0.0,109.0,91.08532732657585,40,20,1,0,0.3333333333333333,340.0,0.2678980215487525,0.06112226941406612,0.11983566061845634,0,0,0,101,0
j6013_1.sm,4,centralizada,crowder_eq3,True,327,69,0.7367593872252084,0.0,20.78157160078248,230.0,560.0,0.0,109.0,91.08532732657585,40,20,1,0,0.3333333333333333,340.0,0.2678980215487525,0.06112226941406612,0.11983566061845634,0,0,0,101,0
j6013_1.sm,4,adaptativa,unitario,True,284,69,0.6010068503068773,0.0,20.144259721179537,246.0,468.0,101.0,31.0,178.69328737440622,45,15,16,0,0.25,340.0,0.5255684922776653,0.05924782270935158,0.2294783970424649,132,101,31,0,0
j6013_1.sm,4,adaptativa,crowder_eq3,True,284,69,0.6807549053053932,0.0,20.144259721179537,246.0,468.0,9.778806256782108,31.0,178.69328737440622,45,15,16,0,0.25,340.0,0.5255684922776653,0.05924782270935158,0.2599280596693875,132,101,31,0,0
j6013_1.sm,5,centralizada,unitario,True,299,69,0.7404723830989552,4.440892098500626e-15,24.899871592881333,204.0,553.0,0.0,63.0,130.82056025592274,37,23,5,0,0.38333333333333336,340.0,0.3847663536938904,0.07323491644965098,0.17517000363660684,0,0,0,56,0
j6013_1.sm,5,centralizada,crowder_eq3,True,299,69,0.7404723830989552,4.440892098500626e-15,24.899871592881333,204.0,553.0,0.0,63.0,130.82056025592274,37,23,5,0,0.38333333333333336,340.0,0.3847663536938904,0.07323491644965098,0.17517000363660684,0,0,0,56,0
j6013_1.sm,5,adaptativa,unitario,True,249,69,0.6509950709290275,0.0,10.139940093872966,286.0,441.0,89.0,27.0,120.42448398365593,51,9,18,0,0.15,340.0,0.3541896587754586,0.02982335321727343,0.17776813036855246,108,89,19,0,0
j6013_1.sm,5,adaptativa,crowder_eq3,True,249,69,0.7392153383824516,0.0,10.139940093872966,286.0,441.0,8.154046116916152,27.0,120.42448398365593,51,9,18,0,0.15,340.0,0.3541896587754586,0.02982335321727343,0.20185856162700758,108,89,19,0,0
j6013_1.sm,6,centralizada,unitario,True,316,69,0.810310766449459,0.0,29.416513150727024,211.0,581.0,0.0,3.0,133.00886136040052,40,20,4,0,0.3333333333333333,340.0,0.3912025334129427,0.08651915632566771,0.1855051848425404,0,0,0,2,0
j6013_1.sm,6,centralizada,crowder_eq3,True,316,69,0.810310766449459,0.0,29.416513150727024,211.0,581.0,0.0,3.0,133.00886136040052,40,20,4,0,0.3333333333333333,340.0,0.3912025334129427,0.08651915632566771,0.1855051848425404,0,0,0,2,0
j6013_1.sm,6,adaptativa,unitario,True,229,69,0.769910493242322,0.0,10.78699510543891,287.0,450.0,24.0,6.0,104.48352626669138,53,7,14,0,0.11666666666666667,340.0,0.30730448901968055,0.03172645619246738,0.17876214054152326,27,24,3,0,0
j6013_1.sm,6,adaptativa,crowder_eq3,True,229,69,0.7997198827229692,0.0,10.78699510543891,287.0,450.0,2.213500181861289,6.0,104.48352626669138,53,7,14,0,0.11666666666666667,340.0,0.30730448901968055,0.03172645619246738,0.18568345193884603,27,24,3,0,0
