etapa,arquivo,cenario,P_max,semente,P_realizada_media,mu_cog_medio,defeitos_gerados,S_UR_maximo,fracao_heuristica
confirmatorio,j6010_1.sm,centralizada,0.4,1034,0.323255939954933,0.9375750150338176,10,16.883275987680037,0.326171875
confirmatorio,j6010_1.sm,centralizada,0.4,1035,0.3414893638602513,0.9302000512533164,15,14.662793608363488,0.3992395437262357
confirmatorio,j6010_1.sm,centralizada,0.4,1036,0.3204909572896386,0.92318218104135,11,16.47893104054519,0.4776699029126213
confirmatorio,j6010_1.sm,centralizada,0.4,1037,0.3275304012077463,0.9391204279937392,12,11.0,0.3359840954274354
confirmatorio,j6010_1.sm,centralizada,0.4,1038,0.3026775489131971,0.9187249681742686,7,7.5,0.4971209213051823
confirmatorio,j6010_1.sm,centralizada,0.4,1039,0.3762269558868467,0.9440615498312912,15,12.5,0.6907407407407408
confirmatorio,j6010_1.sm,centralizada,0.4,1040,0.3443824557807198,0.9423965880615583,17,20.75473998688239,0.4660194174757281
confirmatorio,j6010_1.sm,centralizada,0.4,1041,0.3194977005911408,0.9432503517638716,12,20.5,0.4378818737270876
confirmatorio,j6010_1.sm,centralizada,0.4,1042,0.3029402184267171,0.9355822306347392,20,17.5,0.2380038387715931
confirmatorio,j6010_1.sm,centralizada,0.4,1043,0.3305848554270514,0.937292271988776,17,22.14928471291892,0.413662239089184
confirmatorio,j6010_1.sm,centralizada,0.4,1044,0.3454976786218698,0.9352773630911037,15,13.5,0.5711462450592886
confirmatorio,j6010_1.sm,centralizada,0.4,1045,0.3542246267874889,0.9351900254023844,10,13.0,0.5374015748031497
confirmatorio,j6010_1.sm,centralizada,0.4,1046,0.3282151444664681,0.9394927352161702,13,10.5,0.4779116465863454
confirmatorio,j6010_1.sm,centralizada,0.4,1047,0.3075826897797101,0.926677893899899,16,18.0757905008599,0.4132553606237816
confirmatorio,j6010_1.sm,centralizada,0.4,1048,0.2961766070371517,0.9506127519261008,18,19.5,0.2338709677419354
confirmatorio,j6010_1.sm,centralizada,0.4,1049,0.336711297656084,0.9389098825801678,12,13.0,0.3689516129032258
confirmatorio,j6010_1.sm,centralizada,0.4,1050,0.3555986485523145,0.9703565178966193,11,13.0,0.285132382892057
confirmatorio,j6010_1.sm,centralizada,0.4,1051,0.321820580073873,0.9350288943885804,10,11.0,0.4613899613899614
confirmatorio,j6010_1.sm,centralizada,0.4,1052,0.3390148335653316,0.9077275348775838,6,13.664613346110752,0.6865671641791045
confirmatorio,j6010_1.sm,centralizada,0.4,1053,0.3319185059778836,0.95724459727193,12,12.5,0.3817427385892116
confirmatorio,j6010_1.sm,centralizada,0.4,1054,0.3442206533160387,0.9082874562033988,8,12.5,0.4360902255639097
confirmatorio,j6010_1.sm,centralizada,0.4,1055,0.3169475156146447,0.9212265936254476,12,17.0,0.3295019157088122
confirmatorio,j6010_1.sm,centralizada,0.4,1056,0.3146759632833283,0.899560584507941,17,14.123838350601474,0.5256410256410257
confirmatorio,j6010_1.sm,centralizada,0.4,1057,0.3446596033353206,0.9337323678926732,14,9.0,0.6412825651302605
confirmatorio,j6010_1.sm,centralizada,0.4,1058,0.3087164213965911,0.9353461237261604,13,8.5,0.3280318091451292
confirmatorio,j6010_1.sm,centralizada,0.4,1059,0.3239580655701565,0.9395672990342664,15,15.95236796449124,0.3984526112185687
confirmatorio,j6010_1.sm,centralizada,0.4,1060,0.3475096947069135,0.9517024208986382,7,14.0,0.5172413793103449
