arquivo,combinacao,makespan_cpm,makespan_recursos,razao_makespan,ativas_media,ativas_p90,ativas_max
j6032_10.sm,32,77,77,1.0,4.246753246753247,7.400000000000006,8
j6032_2.sm,32,114,114,1.0,3.0,5.0,7
j6032_3.sm,32,85,85,1.0,4.364705882352941,6.0,9
j6032_4.sm,32,56,56,1.0,5.482142857142857,9.5,12
j6032_5.sm,32,77,77,1.0,4.35064935064935,7.0,7
j6032_6.sm,32,93,93,1.0,3.4838709677419355,5.0,8
j6032_7.sm,32,76,76,1.0,4.394736842105263,7.0,9
j6032_8.sm,32,76,76,1.0,3.9473684210526314,8.0,9
j6032_9.sm,32,74,74,1.0,5.04054054054054,7.0,8
j6033_1.sm,33,90,113,1.2555555555555555,3.061946902654867,4.0,5
j6033_10.sm,33,69,88,1.2753623188405796,3.6136363636363638,6.0,7
j6033_2.sm,33,100,100,1.0,3.53,6.0,7
j6033_3.sm,33,77,82,1.0649350649350648,3.7195121951219514,6.0,8
j6033_4.sm,33,75,81,1.08,4.222222222222222,6.0,6
j6033_5.sm,33,97,123,1.268041237113402,3.016260162601626,5.0,7
j6033_6.sm,33,65,84,1.2923076923076924,4.059523809523809,6.0,8
j6033_7.sm,33,66,95,1.4393939393939394,3.5894736842105264,6.0,7
j6033_8.sm,33,74,107,1.445945945945946,3.046728971962617,5.0,6
j6033_9.sm,33,102,119,1.1666666666666667,2.8823529411764706,4.0,8
j6034_1.sm,34,67,100,1.492537313432836,3.29,6.0,7
j6034_10.sm,34,92,92,1.0,3.9239130434782608,6.0,7
j6034_2.sm,34,65,82,1.2615384615384615,4.0,7.0,9
j6034_3.sm,34,61,66,1.0819672131147542,4.666666666666667,7.0,8
j6034_4.sm,34,83,92,1.108433734939759,3.4456521739130435,5.0,7
j6034_5.sm,34,80,88,1.1,3.5454545454545454,5.299999999999997,8
j6034_6.sm,34,77,83,1.077922077922078,4.301204819277109,6.0,8
j6034_7.sm,34,83,92,1.108433734939759,3.5434782608695654,6.0,7
j6034_8.sm,34,61,76,1.2459016393442623,3.8026315789473686,6.0,8
j6034_9.sm,34,77,83,1.077922077922078,3.8433734939759034,6.0,7
j6035_1.sm,35,78,90,1.1538461538461537,3.922222222222222,7.0,9
j6035_10.sm,35,70,71,1.0142857142857142,4.605633802816901,7.0,8
j6035_2.sm,35,77,85,1.103896103896104,4.294117647058823,7.6000000000000085,9
