metrica,termo,ordem,parcela_media,pct_do_contraste,p_valor,n_instancias
S_UR_maximo,AD,2,2.1305500471685566,-11.649492288783886,0.0155029296875,16
S_UR_maximo,BC,2,-2.220446049250313e-16,1.2141028633792859e-15,,16
S_UR_maximo,BD,2,0.0,-0.0,,16
S_UR_maximo,CD,2,8.36173940932899,-45.720596378035665,3.0517578125e-05,16
S_UR_maximo,ABC,3,0.0,-0.0,,16
S_UR_maximo,ABD,3,0.0,-0.0,,16
S_UR_maximo,ACD,3,-2.328369211478966,12.73113448361071,0.0155029296875,16
S_UR_maximo,BCD,3,-1.6653345369377348e-16,9.105771475344644e-16,,16
S_UR_maximo,ABCD,4,2.7755575615628914e-16,-1.5176285792241072e-15,,16
S_UR_maximo,SOMA_principais,0,-29.571261791764094,161.69072708270033,,16
S_UR_maximo,SOMA_interacoes,0,11.282481522602952,-61.690727082700356,,16
