modelo,metrica,braco,ANTES_pct,DEPOIS_pct,DEPOIS_parcela
mvp,TU,so_p_reporte,2.7227079906501603,1.7121333181142833,-1.56249999999992
mvp,TU,so_p_deteccao,0.0432862955588265,5.450291062664174,-4.973958333333419
mvp,TU,so_portao,,102.76794886428492,-93.78645833333334
mvp,TU,so_rede,,-23.83289578815204,21.75
mvp,TU,centralizada,-0.0,0.0,0.0
mvp,TU,adaptativa,100.0,100.00000000000021,-91.26041666666684
mvp,TU,so_par_tau,99.80521166998528,99.85732222349063,-91.13020833333348
mvp,TU,sem_par_tau,2.3634317375119025,2.425522200662056,-2.2135416666666945
mvp,TW,so_tau_inicial,98.43336582648656,103.6244213191944,-136.40104166666663
mvp,TW,so_tau_min,-0.0,0.0,0.0
mvp,TW,so_p_reporte,-0.2785127419579429,-1.5906303169392055,2.0937500000002363
mvp,TW,so_p_deteccao,-0.9190920484612124,-1.369049974280763,1.8020833333332145
mvp,TW,so_portao,,64.6064970521901,-85.04166666666666
mvp,TW,so_rede,,72.87619198353974,-95.92708333333331
mvp,TW,centralizada,-0.0,0.0,0.0
mvp,TW,adaptativa,100.0,100.00000000000075,-131.63020833333428
mvp,TW,so_par_tau,98.43336582648656,103.51758793969894,-136.26041666666723
mvp,TW,sem_par_tau,-0.5605068931903571,-1.3848771416135133,1.8229166666665786
mvp,atraso_relativo,so_tau_inicial,52.55976151279914,31.504406951332776,-0.3224227272368634
mvp,atraso_relativo,so_tau_min,-0.0,0.0,0.0
mvp,atraso_relativo,so_p_reporte,27.84922255341554,26.211141881043407,-0.2682503391456753
mvp,atraso_relativo,so_p_deteccao,38.445722073938725,57.55239774881876,-0.5890033438769384
mvp,atraso_relativo,so_portao,,9.257248547710246,-0.0947406287657785
mvp,atraso_relativo,so_rede,,20.7531579015432,-0.2123921830913802
mvp,atraso_relativo,centralizada,-0.0,0.0,0.0
mvp,atraso_relativo,adaptativa,100.0,100.00000000000048,-1.023421033555514
mvp,atraso_relativo,so_par_tau,52.55976151279914,31.1545048102381,-0.3188417551280395
mvp,atraso_relativo,sem_par_tau,40.14033896933407,57.728595422734145,-0.590806587932424
mvp,divida_latente_sobre_plano,so_tau_inicial,22.60142987565434,19.748449396294816,-0.015367172247348099
mvp,divida_latente_sobre_plano,so_tau_min,-0.0,0.0,0.0
mvp,divida_latente_sobre_plano,so_p_reporte,82.18290111292283,77.69005677470338,-0.0604541886000991
mvp,divida_latente_sobre_plano,so_p_deteccao,57.05304591310295,63.64319500923405,-0.0495236826169227
mvp,divida_latente_sobre_plano,so_portao,,14.169754371816456,-0.0110261343442574
mvp,divida_latente_sobre_plano,so_rede,,7.74025139344432,-0.0060230438356923
mvp,divida_latente_sobre_plano,centralizada,-0.0,0.0,0.0
mvp,divida_latente_sobre_plano,adaptativa,100.0,100.00000000000014,-0.07781457642052297
mvp,divida_latente_sobre_plano,so_par_tau,22.60142987565434,19.668267274074655,-0.015304778868577498
mvp,divida_latente_sobre_plano,sem_par_tau,93.75723479581764,95.46722636458139,-0.07428741781602059
mvp,n_com_erro,so_tau_inicial,10.645526613816534,18.295930011411187,-2.505208333333334
mvp,n_com_erro,so_tau_min,-0.0,0.0,0.0
mvp,n_com_erro,so_p_reporte,100.6228765571914,96.12019779383792,-13.161458333333329
mvp,n_com_erro,so_p_deteccao,1.0192525481313692,0.6466337010270223,-0.0885416666666688
mvp,n_com_erro,so_portao,,13.541270445036137,-1.854166666666667
mvp,n_com_erro,so_rede,,11.981742107265124,-1.6406250000000004
mvp,n_com_erro,centralizada,-0.0,0.0,0.0
mvp,n_com_erro,adaptativa,100.0,100.00000000000011,-13.692708333333352
mvp,n_com_erro,so_par_tau,10.645526613816534,18.105743628756272,-2.4791666666666794
mvp,n_com_erro,sem_par_tau,99.49037372593432,97.45150247242297,-13.343750000000002
mvp,retrabalho_sobre_plano,so_tau_inicial,91.4721239280996,122.39079356275217,-0.0663982965724514
mvp,retrabalho_sobre_plano,so_tau_min,-0.0,0.0,0.0
mvp,retrabalho_sobre_plano,so_p_reporte,10.650574317048704,7.202792002091377,-0.0039075906412791
mvp,retrabalho_sobre_plano,so_p_deteccao,5.113003527981923,3.0332604216989307,-0.001645575775748
mvp,retrabalho_sobre_plano,so_portao,,79.48974594383624,-0.043124025688595
mvp,retrabalho_sobre_plano,so_rede,,66.77513124750504,-0.0362262130930864
mvp,retrabalho_sobre_plano,centralizada,-0.0,0.0,0.0
mvp,retrabalho_sobre_plano,adaptativa,100.0,100.00000000000094,-0.05425105487073127
mvp,retrabalho_sobre_plano,so_par_tau,91.4721239280996,120.52739041996315,-0.065387380710994
mvp,retrabalho_sobre_plano,sem_par_tau,6.668602805169956,9.217887574743255,-0.0050008012460961
mvp,taxa_omissao,so_tau_inicial,10.64552661381654,18.295930011411187,-0.0417534722222221
mvp,taxa_omissao,so_tau_min,-0.0,0.0,0.0
mvp,taxa_omissao,so_p_reporte,100.6228765571914,96.12019779383792,-0.2193576388888888
mvp,taxa_omissao,so_p_deteccao,1.0192525481313703,0.6466337010270218,-0.0014756944444444
mvp,taxa_omissao,so_portao,,13.541270445036137,-0.0309027777777777
mvp,taxa_omissao,so_rede,,11.981742107265116,-0.0273437499999999
mvp,taxa_omissao,centralizada,-0.0,0.0,0.0
mvp,taxa_omissao,adaptativa,100.0,100.00000000000011,-0.22821180555555573
mvp,taxa_omissao,so_par_tau,10.64552661381654,18.105743628756276,-0.0413194444444446
mvp,taxa_omissao,sem_par_tau,99.49037372593432,97.45150247242297,-0.22239583333333318
