configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
centro_fator_0.5,j6010_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,p2_ajuda,0.0,9.5,9.5,4,0
centro_fator_0.5,j6021_1.sm,p2_ajuda,0.0,5.25,5.25,4,0
centro_fator_0.5,j6032_1.sm,p2_ajuda,0.0,7.5,7.5,4,0
centro_fator_0.5,j6043_1.sm,p2_ajuda,0.0,8.75,8.75,4,0
centro_fator_0.5,j6010_1.sm,p2_bloqueio,137.5,14.0,-123.5,4,0
centro_fator_0.5,j6021_1.sm,p2_bloqueio,91.0,7.75,-83.25,4,0
centro_fator_0.5,j6032_1.sm,p2_bloqueio,151.75,17.25,-134.5,4,0
centro_fator_0.5,j6043_1.sm,p2_bloqueio,239.75,14.0,-225.75,4,0
centro_fator_0.5,j6010_1.sm,p3_analitica,29.0,40.5,11.5,4,0
centro_fator_0.5,j6021_1.sm,p3_analitica,28.25,33.5,5.25,4,0
centro_fator_0.5,j6032_1.sm,p3_analitica,27.5,39.75,12.25,4,0
centro_fator_0.5,j6043_1.sm,p3_analitica,32.0,46.0,14.0,4,0
centro_fator_0.5,j6010_1.sm,hiato_encontrado,137.5,23.5,-114.0,4,0
centro_fator_0.5,j6021_1.sm,hiato_encontrado,91.0,13.0,-78.0,4,0
centro_fator_0.5,j6032_1.sm,hiato_encontrado,151.75,24.75,-127.0,4,0
centro_fator_0.5,j6043_1.sm,hiato_encontrado,239.75,22.75,-217.0,4,0
centro_fator_0.5,j6010_1.sm,hiato_sem_colega_capaz,42.75,14.0,-28.75,4,0
centro_fator_0.5,j6021_1.sm,hiato_sem_colega_capaz,29.0,7.75,-21.25,4,0
centro_fator_0.5,j6032_1.sm,hiato_sem_colega_capaz,59.25,17.25,-42.0,4,0
centro_fator_0.5,j6043_1.sm,hiato_sem_colega_capaz,65.5,14.0,-51.5,4,0
centro_fator_0.5,j6010_1.sm,hiato_sem_colega_livre,6.25,4.0,-2.25,4,0
centro_fator_0.5,j6021_1.sm,hiato_sem_colega_livre,0.75,1.25,0.5,4,0
centro_fator_0.5,j6032_1.sm,hiato_sem_colega_livre,20.75,9.5,-11.25,4,0
centro_fator_0.5,j6043_1.sm,hiato_sem_colega_livre,5.0,4.5,-0.5,4,0
centro_fator_0.5,j6010_1.sm,hiato_colega_capaz_sem_confianca,94.75,0.0,-94.75,4,0
centro_fator_0.5,j6021_1.sm,hiato_colega_capaz_sem_confianca,62.0,0.0,-62.0,4,0
centro_fator_0.5,j6032_1.sm,hiato_colega_capaz_sem_confianca,92.5,0.0,-92.5,4,0
centro_fator_0.5,j6043_1.sm,hiato_colega_capaz_sem_confianca,174.25,0.0,-174.25,4,0
centro_fator_0.5,j6010_1.sm,competencia_maxima_inicial,0.7115921506366745,0.7115921506366745,0.0,4,0
centro_fator_0.5,j6021_1.sm,competencia_maxima_inicial,0.7115921506366745,0.7115921506366745,0.0,4,0
centro_fator_0.5,j6032_1.sm,competencia_maxima_inicial,0.7115921506366745,0.7115921506366745,0.0,4,0
centro_fator_0.5,j6043_1.sm,competencia_maxima_inicial,0.7115921506366745,0.7115921506366745,0.0,4,0
centro_fator_0.5,j6010_1.sm,competencia_minima_inicial,0.34492122943841474,0.34492122943841474,0.0,4,0
centro_fator_0.5,j6021_1.sm,competencia_minima_inicial,0.34492122943841474,0.34492122943841474,0.0,4,0
centro_fator_0.5,j6032_1.sm,competencia_minima_inicial,0.34492122943841474,0.34492122943841474,0.0,4,0
centro_fator_0.5,j6043_1.sm,competencia_minima_inicial,0.34492122943841474,0.34492122943841474,0.0,4,0
centro_fator_0.5,j6010_1.sm,tarefas_acima_da_competencia_maxima_inicial,9.25,9.25,0.0,4,0
centro_fator_0.5,j6021_1.sm,tarefas_acima_da_competencia_maxima_inicial,10.75,10.75,0.0,4,0
centro_fator_0.5,j6032_1.sm,tarefas_acima_da_competencia_maxima_inicial,7.25,7.25,0.0,4,0
centro_fator_0.5,j6043_1.sm,tarefas_acima_da_competencia_maxima_inicial,12.75,12.75,0.0,4,0
centro_fator_0.5,j6010_1.sm,n_tarefas,60.0,60.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,n_tarefas,60.0,60.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,n_tarefas,60.0,60.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,n_tarefas,60.0,60.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,competencia_maxima_final,0.7115921506366745,0.9428553742106747,0.23126322357400006,4,0
centro_fator_0.5,j6021_1.sm,competencia_maxima_final,0.7115921506366745,0.8402189376923073,0.12862678705563269,4,0
centro_fator_0.5,j6032_1.sm,competencia_maxima_final,0.7115921506366745,0.8535625233510951,0.1419703727144205,4,0
centro_fator_0.5,j6043_1.sm,competencia_maxima_final,0.7115921506366745,0.8809660188598878,0.1693738682232133,4,0
centro_fator_0.5,j6010_1.sm,retrabalho_gerado,75.65180735104876,75.05462113300794,-0.5971862180408181,4,0
centro_fator_0.5,j6021_1.sm,retrabalho_gerado,114.13473831428604,83.54498206041713,-30.589756253868913,4,0
centro_fator_0.5,j6032_1.sm,retrabalho_gerado,93.87340462802774,72.91106559128302,-20.96233903674474,4,0
centro_fator_0.5,j6043_1.sm,retrabalho_gerado,84.3866569708279,65.50257657843045,-18.884080392397447,4,0
centro_fator_0.5,j6010_1.sm,retrabalho_pendente,0.0,0.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,retrabalho_pendente,0.0,0.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,retrabalho_pendente,0.0,0.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,retrabalho_pendente,0.0,0.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,ocupacao_retrabalho,84.0,84.25,0.25,4,0
centro_fator_0.5,j6021_1.sm,ocupacao_retrabalho,124.75,92.0,-32.75,4,0
centro_fator_0.5,j6032_1.sm,ocupacao_retrabalho,103.75,80.5,-23.25,4,0
centro_fator_0.5,j6043_1.sm,ocupacao_retrabalho,93.75,73.25,-20.5,4,0
centro_fator_0.5,j6010_1.sm,extensoes_horizonte,0.0,0.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,extensoes_horizonte,0.0,0.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,extensoes_horizonte,0.0,0.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,extensoes_horizonte,0.0,0.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,confianca_media_final,0.25,0.7999999999999999,0.5499999999999999,4,0
centro_fator_0.5,j6021_1.sm,confianca_media_final,0.25,0.7999999999999999,0.5499999999999999,4,0
centro_fator_0.5,j6032_1.sm,confianca_media_final,0.25,0.7999999999999999,0.5499999999999999,4,0
centro_fator_0.5,j6043_1.sm,confianca_media_final,0.25,0.7999999999999999,0.5499999999999999,4,0
centro_fator_0.5,j6010_1.sm,atraso_relativo,2.6,1.5,-1.1,4,0
centro_fator_0.5,j6021_1.sm,atraso_relativo,3.3453947368421053,2.493421052631579,-0.8519736842105262,4,0
centro_fator_0.5,j6032_1.sm,atraso_relativo,2.5,1.5507246376811594,-0.9492753623188405,4,0
centro_fator_0.5,j6043_1.sm,atraso_relativo,1.7638888888888888,1.3125,-0.45138888888888884,4,0
centro_fator_0.5,j6010_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
centro_fator_1.0,j6010_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_1.0,j6021_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_1.0,j6032_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_1.0,j6043_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_1.0,j6010_1.sm,makespan,271.75,170.25,-101.5,4,0
centro_fator_1.0,j6021_1.sm,makespan,352.25,249.5,-102.75,4,0
centro_fator_1.0,j6032_1.sm,makespan,209.75,137.5,-72.25,4,0
centro_fator_1.0,j6043_1.sm,makespan,303.25,179.25,-124.0,4,0
centro_fator_1.0,j6010_1.sm,makespan_cpm,85.0,85.0,0.0,4,0
centro_fator_1.0,j6021_1.sm,makespan_cpm,76.0,76.0,0.0,4,0
centro_fator_1.0,j6032_1.sm,makespan_cpm,69.0,69.0,0.0,4,0
centro_fator_1.0,j6043_1.sm,makespan_cpm,108.0,108.0,0.0,4,0
centro_fator_1.0,j6010_1.sm,E_total,0.7784737058385329,0.8496993834138377,0.07122567757530476,4,0
centro_fator_1.0,j6021_1.sm,E_total,0.7826422043268383,0.8449194762088635,0.0622772718820252,4,0
centro_fator_1.0,j6032_1.sm,E_total,0.7798436567322056,0.8550053230289985,0.07516166629679286,4,0
