arquivo,semente,cenario,cruzou,primeiro_periodo,media_temporal,final
j6043_1.sm,3,centralizada,False,,0.25,0.25
j6043_1.sm,4,adaptativa,True,62.0,0.9348249586376419,0.935
j6043_1.sm,4,centralizada,False,,0.25,0.25
j6043_1.sm,5,adaptativa,True,1.0,0.9628892876399545,0.9666666666666668
j6043_1.sm,5,centralizada,False,,0.25,0.25
j6043_1.sm,6,adaptativa,True,31.0,0.9339926514878961,0.9568066302013032
j6043_1.sm,6,centralizada,False,,0.25,0.25
j6043_1.sm,7,adaptativa,True,9.0,0.9823433868275561,0.9716666666666668
j6043_1.sm,7,centralizada,False,,0.25,0.25
j6043_1.sm,8,adaptativa,True,1.0,0.9633102803724617,0.9466666666666668
j6043_1.sm,8,centralizada,False,,0.25,0.25
j6043_1.sm,9,adaptativa,True,11.0,0.9345054608491474,0.925
j6043_1.sm,9,centralizada,False,,0.25,0.25
j6043_1.sm,10,adaptativa,True,1.0,0.9856480755902681,0.9733333333333332
j6043_1.sm,10,centralizada,False,,0.25,0.25
j6043_1.sm,11,adaptativa,True,39.0,0.9737269637266357,0.985
j6043_1.sm,11,centralizada,False,,0.25,0.25
j6046_1.sm,0,adaptativa,True,6.0,0.9719195893818547,0.964558686808033
j6046_1.sm,0,centralizada,False,,0.25,0.25
j6046_1.sm,1,adaptativa,True,5.0,0.9527381688066727,0.9466666666666668
j6046_1.sm,1,centralizada,False,,0.25,0.25
j6046_1.sm,2,adaptativa,True,9.0,0.9234397891554488,0.9034529756655192
j6046_1.sm,2,centralizada,False,,0.25,0.25
j6046_1.sm,3,adaptativa,False,,0.878672249540804,0.8495877431610536
j6046_1.sm,3,centralizada,False,,0.25,0.25
j6046_1.sm,4,adaptativa,True,11.0,0.9595227445654446,0.96
j6046_1.sm,4,centralizada,False,,0.25,0.25
j6046_1.sm,5,adaptativa,True,1.0,0.9753480135826771,0.9683333333333332
j6046_1.sm,5,centralizada,False,,0.25,0.25
j6046_1.sm,6,adaptativa,True,9.0,0.9537731481757415,0.9533333333333333
j6046_1.sm,6,centralizada,False,,0.25,0.25
j6046_1.sm,7,adaptativa,True,14.0,0.9774943248175468,0.9733333333333332
j6046_1.sm,7,centralizada,False,,0.25,0.25
j6046_1.sm,8,adaptativa,True,1.0,0.9610315968229423,0.9366666666666664
j6046_1.sm,8,centralizada,False,,0.25,0.25
j6046_1.sm,9,adaptativa,True,5.0,0.9383789747424771,0.9233333333333332
j6046_1.sm,9,centralizada,False,,0.25,0.25
j6046_1.sm,10,adaptativa,True,1.0,0.9945991953048373,0.9933333333333332
j6046_1.sm,10,centralizada,False,,0.25,0.25
j6046_1.sm,11,adaptativa,True,6.0,0.971275418238394,0.9683333333333332
j6046_1.sm,11,centralizada,False,,0.25,0.25
j604_1.sm,0,adaptativa,True,12.0,0.967284774584329,0.96
j604_1.sm,0,centralizada,False,,0.25,0.25
j604_1.sm,1,adaptativa,True,9.0,0.9555778091729004,0.9566666666666668
j604_1.sm,1,centralizada,False,,0.25,0.25
j604_1.sm,2,adaptativa,True,1.0,0.8998623795880354,0.8541634662296759
j604_1.sm,2,centralizada,False,,0.25,0.25
j604_1.sm,3,adaptativa,True,1.0,0.9086715606180309,0.8799999999999999
j604_1.sm,3,centralizada,False,,0.25,0.25
j604_1.sm,4,adaptativa,True,1.0,0.9181959923417597,0.8800431535478057
j604_1.sm,4,centralizada,False,,0.25,0.25
j604_1.sm,5,adaptativa,True,12.0,0.9372143559777473,0.9183333333333332
j604_1.sm,5,centralizada,False,,0.25,0.25
j604_1.sm,6,adaptativa,False,,0.8833230436340391,0.841018438748244
j604_1.sm,6,centralizada,False,,0.25,0.25
