etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias
nominal,ativo,1.0,0.25,centralizada,atraso_relativo,0,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
nominal,ativo,1.0,0.25,adaptativa,taxa_omissao,0,0,0.08428819444444444,0.0765039334367004,0.09207245545218848,16
nominal,ativo,1.0,0.25,centralizada,taxa_omissao,0,0,0.3125,0.2943696393264874,0.3306303606735126,16
nominal,ativo,1.0,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.025457608424232565,0.02297190322204099,0.02794331362642414,16
nominal,ativo,1.0,0.25,centralizada,divida_latente_sobre_plano,0,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
nominal,ativo,1.0,0.25,adaptativa,taxa_falha_efetiva,0,0,0.3189236111111111,0.2964693692083124,0.3413778530139098,16
nominal,ativo,1.0,0.25,centralizada,taxa_falha_efetiva,0,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
nominal,ativo,1.0,0.25,adaptativa,fracao_porta1,0,0,0.5204861111111112,0.45863357891696677,0.5823386433052556,16
nominal,ativo,1.0,0.25,centralizada,fracao_porta1,0,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
nominal,desligado,1.0,0.25,adaptativa,atraso_relativo,0,0,2.010786109260244,1.7515676776874056,2.2700045408330825,16
nominal,desligado,1.0,0.25,centralizada,atraso_relativo,0,0,3.0413739132539144,2.7176036291155774,3.3651441973922513,16
nominal,desligado,1.0,0.25,adaptativa,taxa_omissao,0,0,0.07682291666666666,0.06934978202965068,0.08429605130368263,16
nominal,desligado,1.0,0.25,centralizada,taxa_omissao,0,0,0.2874131944444444,0.27062237243581977,0.30420401645306905,16
nominal,desligado,1.0,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.02430339887241371,0.02141783490801128,0.02718896283681614,16
nominal,desligado,1.0,0.25,centralizada,divida_latente_sobre_plano,0,0,0.09831063093521414,0.09009863473392175,0.10652262713650652,16
nominal,desligado,1.0,0.25,adaptativa,taxa_falha_efetiva,0,0,0.29348958333333336,0.272735958276469,0.3142432083901977,16
nominal,desligado,1.0,0.25,centralizada,taxa_falha_efetiva,0,0,0.3345486111111111,0.3143402699728297,0.3547569522493925,16
nominal,desligado,1.0,0.25,adaptativa,fracao_porta1,0,0,0.5190972222222222,0.45856645872036983,0.5796279857240746,16
nominal,desligado,1.0,0.25,centralizada,fracao_porta1,0,0,0.6361979166666667,0.5798083850293398,0.6925874483039935,16
