etapa,canal,tau_sat,s_transicao,metrica,arquivo,semente,diferenca
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6010_1.sm,0,-0.056224227221499196
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6010_1.sm,1,-0.04518106313897151
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6010_1.sm,2,-0.0733320613680312
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6010_1.sm,3,-0.030984970524453603
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6021_1.sm,0,-0.06130521717372381
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6021_1.sm,1,-0.1679345152485515
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6021_1.sm,2,-0.0458985545698323
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6021_1.sm,3,-0.09002368292823629
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6032_1.sm,0,-0.1012198657843999
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6032_1.sm,1,-0.08006951999441429
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6032_1.sm,2,-0.07815672715457819
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6032_1.sm,3,-0.024853244605645794
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6043_1.sm,0,-0.043886518601603
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6043_1.sm,1,-0.0193632252225816
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6043_1.sm,2,-0.0772896049741702
grade,ativo,0.7,0.6,divida_latente_sobre_plano,j6043_1.sm,3,-0.0217453831981108
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6010_1.sm,0,-0.01666666666666672
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6010_1.sm,1,-0.08333333333333337
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6010_1.sm,2,0.01666666666666672
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6010_1.sm,3,-0.05000000000000002
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6021_1.sm,0,-0.16666666666666669
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6021_1.sm,1,-0.18333333333333338
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6021_1.sm,2,-0.04999999999999999
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6021_1.sm,3,-0.06666666666666665
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6032_1.sm,0,0.01666666666666672
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6032_1.sm,1,0.033333333333333326
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6032_1.sm,2,0.033333333333333326
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6032_1.sm,3,-0.0333333333333333
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6043_1.sm,0,-0.09999999999999998
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6043_1.sm,1,-0.03333333333333341
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6043_1.sm,2,-0.04999999999999999
grade,ativo,0.7,0.6,taxa_falha_efetiva,j6043_1.sm,3,-0.01666666666666658
grade,ativo,0.7,0.6,fracao_porta1,j6010_1.sm,0,0.050000000000000044
grade,ativo,0.7,0.6,fracao_porta1,j6010_1.sm,1,-0.06666666666666665
grade,ativo,0.7,0.6,fracao_porta1,j6010_1.sm,2,-0.11666666666666659
grade,ativo,0.7,0.6,fracao_porta1,j6010_1.sm,3,-0.16666666666666663
grade,ativo,0.7,0.6,fracao_porta1,j6021_1.sm,0,0.0
grade,ativo,0.7,0.6,fracao_porta1,j6021_1.sm,1,0.0
grade,ativo,0.7,0.6,fracao_porta1,j6021_1.sm,2,-0.033333333333333326
grade,ativo,0.7,0.6,fracao_porta1,j6021_1.sm,3,-0.10000000000000009
grade,ativo,0.7,0.6,fracao_porta1,j6032_1.sm,0,-0.016666666666666607
grade,ativo,0.7,0.6,fracao_porta1,j6032_1.sm,1,-0.04999999999999993
grade,ativo,0.7,0.6,fracao_porta1,j6032_1.sm,2,-0.1166666666666667
grade,ativo,0.7,0.6,fracao_porta1,j6032_1.sm,3,-0.06666666666666665
grade,ativo,0.7,0.6,fracao_porta1,j6043_1.sm,0,0.08333333333333337
grade,ativo,0.7,0.6,fracao_porta1,j6043_1.sm,1,0.06666666666666665
grade,ativo,0.7,0.6,fracao_porta1,j6043_1.sm,2,-0.016666666666666607
grade,ativo,0.7,0.6,fracao_porta1,j6043_1.sm,3,-0.09999999999999998
grade,ativo,1.0,0.01,atraso_relativo,j6010_1.sm,0,-2.058823529411765
grade,ativo,1.0,0.01,atraso_relativo,j6010_1.sm,1,-3.0588235294117645
grade,ativo,1.0,0.01,atraso_relativo,j6010_1.sm,2,-7.9647058823529395
grade,ativo,1.0,0.01,atraso_relativo,j6010_1.sm,3,-6.0588235294117645
grade,ativo,1.0,0.01,atraso_relativo,j6021_1.sm,3,-0.9210526315789473
grade,ativo,1.0,0.01,atraso_relativo,j6032_1.sm,2,-0.7681159420289854
grade,ativo,1.0,0.01,atraso_relativo,j6032_1.sm,3,-1.0289855072463765
grade,ativo,1.0,0.01,atraso_relativo,j6043_1.sm,2,-0.6203703703703698
grade,ativo,1.0,0.01,atraso_relativo,j6043_1.sm,3,-0.5185185185185186
grade,ativo,1.0,0.01,taxa_omissao,j6010_1.sm,0,-0.25
grade,ativo,1.0,0.01,taxa_omissao,j6010_1.sm,1,-0.35
grade,ativo,1.0,0.01,taxa_omissao,j6010_1.sm,2,-0.15
grade,ativo,1.0,0.01,taxa_omissao,j6010_1.sm,3,-0.4
grade,ativo,1.0,0.01,taxa_omissao,j6021_1.sm,3,-0.25
grade,ativo,1.0,0.01,taxa_omissao,j6032_1.sm,2,-0.1833333333333333
grade,ativo,1.0,0.01,taxa_omissao,j6032_1.sm,3,-0.3
grade,ativo,1.0,0.01,taxa_omissao,j6043_1.sm,2,-0.18333333333333332
grade,ativo,1.0,0.01,taxa_omissao,j6043_1.sm,3,-0.3833333333333333
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6010_1.sm,0,-0.13391161422891248
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6010_1.sm,1,-0.10365207427156581
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6010_1.sm,2,-0.0419083981416451
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6010_1.sm,3,-0.12231315465247738
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6021_1.sm,3,-0.062279814222050194
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6032_1.sm,2,-0.1432265939616537
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6032_1.sm,3,-0.09995272967475131
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6043_1.sm,2,-0.08553478607086609
grade,ativo,1.0,0.01,divida_latente_sobre_plano,j6043_1.sm,3,-0.21285376795404828
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6010_1.sm,0,-0.06666666666666665
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6010_1.sm,1,-0.16666666666666669
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6010_1.sm,2,-0.033333333333333326
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6010_1.sm,3,-0.16666666666666669
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6021_1.sm,3,0.01666666666666672
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6032_1.sm,2,0.03333333333333327
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6032_1.sm,3,-0.1166666666666667
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6043_1.sm,2,-0.06666666666666671
grade,ativo,1.0,0.01,taxa_falha_efetiva,j6043_1.sm,3,-0.16666666666666669
grade,ativo,1.0,0.01,fracao_porta1,j6010_1.sm,0,-0.28333333333333327
grade,ativo,1.0,0.01,fracao_porta1,j6010_1.sm,1,-0.5666666666666667
grade,ativo,1.0,0.01,fracao_porta1,j6010_1.sm,2,-0.5
grade,ativo,1.0,0.01,fracao_porta1,j6010_1.sm,3,-0.3166666666666666
grade,ativo,1.0,0.01,fracao_porta1,j6021_1.sm,3,-0.23333333333333334
grade,ativo,1.0,0.01,fracao_porta1,j6032_1.sm,2,-0.11666666666666667
grade,ativo,1.0,0.01,fracao_porta1,j6032_1.sm,3,-0.15000000000000002
grade,ativo,1.0,0.01,fracao_porta1,j6043_1.sm,2,-0.30000000000000004
grade,ativo,1.0,0.01,fracao_porta1,j6043_1.sm,3,-0.2833333333333333
grade,ativo,1.0,0.25,atraso_relativo,j6010_1.sm,0,-0.976470588235294
grade,ativo,1.0,0.25,atraso_relativo,j6010_1.sm,1,-1.5882352941176472
grade,ativo,1.0,0.25,atraso_relativo,j6010_1.sm,2,-0.7647058823529411
grade,ativo,1.0,0.25,atraso_relativo,j6010_1.sm,3,-0.8588235294117648
grade,ativo,1.0,0.25,atraso_relativo,j6021_1.sm,0,-0.5263157894736841
grade,ativo,1.0,0.25,atraso_relativo,j6021_1.sm,1,-1.1973684210526314
grade,ativo,1.0,0.25,atraso_relativo,j6021_1.sm,2,-0.8157894736842106
grade,ativo,1.0,0.25,atraso_relativo,j6021_1.sm,3,-1.0263157894736836
grade,ativo,1.0,0.25,atraso_relativo,j6032_1.sm,0,-0.5362318840579707
grade,ativo,1.0,0.25,atraso_relativo,j6032_1.sm,1,-2.985507246376812
grade,ativo,1.0,0.25,atraso_relativo,j6032_1.sm,2,-2.217391304347826
grade,ativo,1.0,0.25,atraso_relativo,j6032_1.sm,3,-1.3188405797101448
grade,ativo,1.0,0.25,atraso_relativo,j6043_1.sm,0,-0.2222222222222221
grade,ativo,1.0,0.25,atraso_relativo,j6043_1.sm,1,-0.6851851851851849
grade,ativo,1.0,0.25,atraso_relativo,j6043_1.sm,2,-0.6018518518518516
grade,ativo,1.0,0.25,atraso_relativo,j6043_1.sm,3,-0.4907407407407409
grade,ativo,1.0,0.25,taxa_omissao,j6010_1.sm,0,-0.1666666666666667
grade,ativo,1.0,0.25,taxa_omissao,j6010_1.sm,1,-0.2166666666666667
grade,ativo,1.0,0.25,taxa_omissao,j6010_1.sm,2,-0.23333333333333328
grade,ativo,1.0,0.25,taxa_omissao,j6010_1.sm,3,-0.1333333333333333
