configuracao,metrica,n_instancias_DEPOIS,media_centralizada_DEPOIS,media_adaptativa_DEPOIS,media_diferenca_DEPOIS,ic95_inferior_DEPOIS,ic95_superior_DEPOIS,n_positivo_DEPOIS,n_negativo_DEPOIS,n_zero_DEPOIS,n_pares_censurados_DEPOIS,n_instancias_ANTES,media_centralizada_ANTES,media_adaptativa_ANTES,media_diferenca_ANTES,ic95_inferior_ANTES,ic95_superior_ANTES,n_positivo_ANTES,n_negativo_ANTES,n_zero_ANTES,n_pares_censurados_ANTES
C4_C1_C3_saldo_eventos,dividas_pendentes,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,hiato_colega_capaz_sem_confianca,16,85.40104166666667,0.0,-85.40104166666667,-95.44541806267453,-75.35666527065881,0,16,0,0,16,81.421875,0.0,-81.421875,-92.06140103478849,-70.78234896521151,0,16,0,0
C4_C1_C3_saldo_eventos,hiato_encontrado,16,132.59895833333334,26.020833333333332,-106.578125,-119.52136293553201,-93.63488706446799,0,16,0,0,16,126.265625,16.432291666666664,-109.83333333333334,-124.01955388981516,-95.64711277685153,0,16,0,0
C4_C1_C3_saldo_eventos,hiato_sem_colega_capaz,16,47.19791666666667,16.901041666666668,-30.296875,-34.574395600215695,-26.019354399784305,0,16,0,0,16,44.84375,5.942708333333333,-38.90104166666667,-44.268678694558574,-33.53340463877477,0,16,0,0
C4_C1_C3_saldo_eventos,hiato_sem_colega_livre,16,11.989583333333332,7.213541666666667,-4.776041666666667,-7.471731976150572,-2.0803513571827614,4,12,0,0,16,11.385416666666668,1.9479166666666665,-9.4375,-12.945847948864639,-5.929152051135361,0,15,1,0
C4_C1_C3_saldo_eventos,makespan,16,226.57812500000003,140.46354166666666,-86.11458333333333,-94.28497702351343,-77.94418964315322,0,16,0,0,16,237.68229166666669,151.90625,-85.77604166666666,-90.54976146784735,-81.00232186548597,0,16,0,0
C4_C1_C3_saldo_eventos,makespan_cpm,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,n_adiamentos,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,n_com_erro,16,13.020833333333334,3.776041666666667,-9.244791666666668,-9.774305432181794,-8.715277901151541,0,16,0,0,16,13.020833333333332,3.8229166666666665,-9.197916666666668,-9.82503693849267,-8.570796394840666,0,16,0,0
C4_C1_C3_saldo_eventos,n_limpas,16,46.979166666666664,56.22395833333333,9.244791666666668,8.715277901151541,9.774305432181794,16,0,0,0,16,46.97916666666667,56.177083333333336,9.197916666666668,8.570796394840666,9.82503693849267,16,0,0,0
C4_C1_C3_saldo_eventos,n_reportadas,16,2.09375,10.385416666666666,8.291666666666666,7.772043614593543,8.811289718739788,16,0,0,0,16,2.140625,9.989583333333332,7.848958333333333,7.4150219841769225,8.282894682489744,16,0,0,0
C4_C1_C3_saldo_eventos,n_tarefas,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,p1_fuga,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,p1_omissao,16,39.17708333333333,21.09375,-18.083333333333336,-20.13406522526077,-16.0326014414059,0,16,0,0,16,38.640625,19.166666666666664,-19.473958333333332,-21.62613552227828,-17.321781144388385,0,16,0,0
C4_C1_C3_saldo_eventos,p2_ajuda,16,0.0,9.119791666666668,9.119791666666668,8.235995263972919,10.003588069360417,16,0,0,0,16,0.0,10.489583333333334,10.489583333333334,9.62216515747912,11.357001509187548,16,0,0,0
C4_C1_C3_saldo_eventos,p2_bloqueio,16,132.59895833333334,16.901041666666668,-115.69791666666667,-128.91844015899048,-102.47739317434288,0,16,0,0,16,126.265625,5.942708333333333,-120.32291666666667,-134.59218836608736,-106.05364496724599,0,16,0,0
C4_C1_C3_saldo_eventos,p3_analitica,16,20.822916666666668,38.90625,18.083333333333336,16.0326014414059,20.13406522526077,16,0,0,0,16,21.359375,40.83333333333333,19.473958333333332,17.321781144388385,21.62613552227828,16,0,0,0
C4_C1_C3_saldo_eventos,retrabalho_sobre_esforco_realizado,16,0.08396080430655697,0.09305950724711798,0.009098702940561018,0.0037318418196194744,0.014465564061502562,12,4,0,0,16,0.07700442375652736,0.08461401738680613,0.007609593630278785,0.004453241576832188,0.010765945683725383,15,1,0,0
