arquivo,semente,cenario,concluiu,TR,E_plano,retrabalho_sobre_esforco_total
j6043_1.sm,11,centralizada,True,72.8273024874161,334.0,0.1790128195480901
j6043_1.sm,11,adaptativa,True,57.77781491526298,334.0,0.1474759741762296
j6046_1.sm,0,centralizada,True,77.34165150752146,320.0,0.1946477325346734
j6046_1.sm,0,adaptativa,True,52.522394334042104,320.0,0.1409912400781605
j6046_1.sm,1,centralizada,True,72.71802304416072,320.0,0.1851659938611568
j6046_1.sm,1,adaptativa,True,76.48132526613756,320.0,0.1929001957779463
j6046_1.sm,2,centralizada,True,116.15330782820509,320.0,0.2663130274228169
j6046_1.sm,2,adaptativa,True,108.81225416684651,320.0,0.2537526694013478
j6046_1.sm,3,centralizada,True,121.72302027871524,320.0,0.2755641311197939
j6046_1.sm,3,adaptativa,True,70.76724415834722,320.0,0.1810981990334656
j6046_1.sm,4,centralizada,True,90.3965776218075,320.0,0.2202664021850362
j6046_1.sm,4,adaptativa,True,57.00937757376052,320.0,0.1512147468072112
j6046_1.sm,5,centralizada,True,106.31109660416308,320.0,0.2493744531892274
j6046_1.sm,5,adaptativa,True,87.43914835353763,320.0,0.2146066442237556
j6046_1.sm,6,centralizada,True,122.5114105444765,320.0,0.2768548056054318
j6046_1.sm,6,adaptativa,True,71.50363134840815,320.0,0.1826384881849931
j6046_1.sm,7,centralizada,True,108.6244634025181,320.0,0.2534257203619049
j6046_1.sm,7,adaptativa,True,63.291264631125266,320.0,0.1651257684988881
j6046_1.sm,8,centralizada,True,88.1049732936054,320.0,0.2158880167094153
j6046_1.sm,8,adaptativa,True,126.26867624023076,320.0,0.2829431751832367
j6046_1.sm,9,centralizada,True,82.26007593587919,320.0,0.2044947556490581
j6046_1.sm,9,adaptativa,True,115.0082776144446,320.0,0.264381814169473
j6046_1.sm,10,centralizada,True,109.05303025485696,320.0,0.2541714486670321
j6046_1.sm,10,adaptativa,True,104.02139383955333,320.0,0.2453210978286494
j6046_1.sm,11,centralizada,True,129.90959390717683,320.0,0.2887459962322545
j6046_1.sm,11,adaptativa,True,105.5515093745516,320.0,0.2480346257722935
j604_1.sm,0,centralizada,True,78.33673286251336,382.0,0.1701726741974115
j604_1.sm,0,adaptativa,True,66.08193237475842,382.0,0.1474773419774713
j604_1.sm,1,centralizada,True,96.95542451403097,382.0,0.2024309978583209
j604_1.sm,1,adaptativa,True,61.878186522486075,382.0,0.1394035309715573
j604_1.sm,2,centralizada,True,149.0939970221147,382.0,0.2807299609072901
j604_1.sm,2,adaptativa,True,117.423054157328,382.0,0.2351174083372159
j604_1.sm,3,centralizada,True,108.6043354330063,382.0,0.2213684788112448
j604_1.sm,3,adaptativa,True,61.23814795723217,382.0,0.1381608244675298
j604_1.sm,4,centralizada,True,106.92860676756912,382.0,0.2186998373331051
j604_1.sm,4,adaptativa,True,54.64764156067264,382.0,0.1251527235217628
j604_1.sm,5,centralizada,True,139.03465021829018,382.0,0.2668433858670261
j604_1.sm,5,adaptativa,True,142.1383918619635,382.0,0.2711848513081196
j604_1.sm,6,centralizada,True,118.68548362081454,382.0,0.2370459849614871
j604_1.sm,6,adaptativa,True,87.10771176861108,382.0,0.1856880831061188
