variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
F2,j6032_1.sm,3,centralizada,,0.4,True,0,2.4347826086956523,0.3333333333333333,0,0.25,0.31666666666666665
F2,j6032_1.sm,3,adaptativa,,0.4,True,0,2.0869565217391304,0.29411764705882354,192,0.8849220361687539,0.26666666666666666
F2,j6043_1.sm,0,centralizada,,0.4,True,0,2.4722222222222223,0.23076923076923078,0,0.25,0.26666666666666666
F2,j6043_1.sm,0,adaptativa,,0.4,True,0,1.4444444444444444,0.09090909090909091,261,0.9966666666666667,0.25
F2,j6043_1.sm,1,centralizada,,0.4,True,0,3.175925925925926,0.1891891891891892,0,0.25,0.25
F2,j6043_1.sm,1,adaptativa,,0.4,True,0,1.5648148148148149,0.1780821917808219,225,0.9633333333333333,0.31666666666666665
F2,j6043_1.sm,2,centralizada,,0.4,True,0,2.0555555555555554,0.3103448275862069,0,0.25,0.3
F2,j6043_1.sm,2,adaptativa,,0.4,True,0,1.3888888888888888,0.22077922077922077,145,0.9666666666666667,0.3333333333333333
F2,j6043_1.sm,3,centralizada,,0.4,True,0,2.0185185185185186,0.2682926829268293,0,0.25,0.2833333333333333
F2,j6043_1.sm,3,adaptativa,,0.4,True,0,1.6111111111111112,0.14285714285714285,297,0.943083781953702,0.18333333333333332
