replica,I_max,excluido,incompletas,z_taxa_omissao,f_taxa_omissao,V_obs_taxa_omissao,V_sim_taxa_omissao,I_taxa_omissao,z_atraso_relativo,f_atraso_relativo,V_obs_atraso_relativo,V_sim_atraso_relativo,I_atraso_relativo,z_retrabalho_sobre_plano,f_retrabalho_sobre_plano,V_obs_retrabalho_sobre_plano,V_sim_retrabalho_sobre_plano,I_retrabalho_sobre_plano,z_E_total,f_E_total,V_obs_E_total,V_sim_E_total,I_E_total
41,2.1201591426641913,False,0,0.08416666666666668,0.06874999999999999,4.853395061728396e-05,4.340277777777776e-06,2.1201591426641913,1.6108780903665814,1.5959931798806477,0.0001417350588422646,0.0004209398401613268,0.627505384011167,0.2031290283932198,0.197430926562369,9.452555323622069e-05,7.304245942169354e-05,0.44018439952378335,0.8558864024162789,0.8493285438839699,3.5544312434413265e-05,3.732238252175911e-05,0.7682410474292837
42,2.067996790811889,False,0,0.10416666666666667,0.10833333333333334,0.0001284722222222222,0.00026620370370370367,0.20973380699048352,1.635711849957374,1.5859121909633416,0.00013105480006599183,0.0004488450772774843,2.067996790811889,0.20866218675930392,0.21143668923723472,7.098886120806719e-05,1.1317729154231438e-05,0.30582135735539046,0.8561235177546227,0.8506337020797957,1.356710585067802e-05,3.802229898221559e-06,1.3172437839366928
43,0.4290034103585665,False,0,0.10666666666666666,0.1,0.00014012345679012347,0.00021990740740740735,0.3513491235238001,1.6093435635123616,1.624147485080989,0.0001605696870179267,0.0010758238918335647,0.421015810284087,0.19371241935716182,0.1985205303292779,8.31308470049975e-05,0.00017073848593879377,0.30176534376910485,0.8596194782370749,0.8561681496972783,3.63916161178851e-05,2.83302627404735e-05,0.4290034103585665
44,1.5770012630834827,False,0,0.09083333333333335,0.09166666666666667,0.00021674382716049383,0.00035879629629629624,0.0347360915828602,1.6118243819266833,1.5839940323955668,0.00025334463721117404,5.809453709699616e-05,1.5770012630834827,0.200176219185722,0.18409002083656284,0.00013595765669234975,1.0783670802276329e-05,1.3279361619007597,0.8577423635550664,0.8638570913659375,3.000346945585749e-05,1.9887254735602052e-05,0.8656996177324979
45,1.6911449900722837,False,0,0.11083333333333334,0.10208333333333333,5.871913580246913e-05,3.906249999999998e-05,0.8848698624688401,1.5958908780903667,1.6567561807331628,0.00015815331556594416,0.0011371691114391326,1.6911449900722837,0.19979962249252137,0.20326851816539532,6.891570003592448e-05,0.0001801402131615671,0.21980765341570832,0.8575290285719126,0.854509080354346,1.057634881405715e-05,2.4523357790370416e-05,0.5097388715000166
46,1.9852511844784144,False,0,0.1125,0.08125,0.00011612654320987653,0.0001316550925925926,1.9852511844784144,1.6232821824381929,1.6339087809036659,0.0003445798680988143,0.0007125626576662018,0.32683420303221405,0.2035268697501209,0.19820406059347326,8.163484285499355e-05,3.284548553995355e-05,0.4974798125694165,0.8529280624118897,0.8621092919495743,2.3997826488734972e-05,1.0313057697946182e-05,1.5674182180945584
47,1.8031160777528925,False,0,0.11166666666666666,0.09375,7.129629629629627e-05,3.906249999999998e-05,1.70550790390368,1.6366325660699061,1.6297101449275364,0.00017382858337086374,0.00024977245676678666,0.3363407654407413,0.21157487957314727,0.22487219580563922,3.6090833197299595e-05,5.265866649943305e-05,1.4115005131707035,0.8533059801268026,0.8464994470935578,8.252287418366803e-06,5.997373871809269e-06,1.8031160777528925
48,1.1994018081335853,False,0,0.09666666666666666,0.07916666666666666,4.5061728395061736e-05,0.00016782407407407406,1.1994018081335853,1.6222847399829496,1.6024296675191816,4.6325097039487165e-05,0.0013806992705776746,0.5256005147272981,0.20948530729176187,0.20211514681993886,5.62594203937093e-05,0.0002971888880403242,0.39202520462332285,0.8532049378609651,0.8587056787372502,1.6861252284694515e-05,0.00011437585396971802,0.480167613450205
49,1.5756771943166705,False,0,0.09583333333333334,0.1125,9.452160493827158e-05,1.7361111111111104e-05,1.5756771943166705,1.6056351236146633,1.632992327365729,0.00034228824468575213,0.0002682708676586263,1.107153523021372,0.2045160552559898,0.2279602451324006,7.371614928106132e-05,0.00028517702890556713,1.237521145419516,0.8530099350905103,0.842908080989751,1.87467634850425e-05,7.839757778886073e-05,1.024925593166997
50,1.5248275873963832,False,0,0.09333333333333334,0.09166666666666666,2.2839506172839506e-05,0.0002199074074074074,0.10697243734810107,1.6215089514066499,1.662297527706735,0.00017442066818531716,0.0005411221254875791,1.5248275873963832,0.20965732111995253,0.20236921308394937,2.2064873061772387e-05,0.00012914584434902285,0.5926844252734975,0.8502319048077787,0.8573659273717051,9.33519537925758e-06,8.370718641506267e-05,0.7395951744886354
