tau_min,p_reporte,p_deteccao,tau_inicial,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.15,0.03,0.35,taxa_falha_efetiva,0.2833333333333333,0.21400733346019007,0.3526593332064766,4
0.25,0.15,0.03,0.35,fracao_porta1,0.43333333333333335,0.30788602108226626,0.5587806455844004,4
0.25,0.15,0.03,0.35,N_req,111.5,42.24750774867772,180.75249225132228,4
0.25,0.15,0.03,0.35,mu_rede_medio,0.8868158615679795,0.8593079007238487,0.9143238224121104,4
0.25,0.15,0.03,0.4,atraso_relativo,2.854857730341056,1.3826816029169884,4.327033857765124,4
0.25,0.15,0.03,0.4,taxa_omissao,0.25,0.2136854660530591,0.2863145339469409,4
0.25,0.15,0.03,0.4,divida_latente_sobre_plano,0.09096929494136644,0.05297874918483766,0.1289598406978952,4
0.25,0.15,0.03,0.4,taxa_falha_efetiva,0.2885416666666667,0.2394088194664105,0.33767451386692293,4
0.25,0.15,0.03,0.4,fracao_porta1,0.41666666666666663,0.3027267018243476,0.5306066315089857,4
0.25,0.15,0.03,0.4,N_req,121.0,34.15373322467346,207.84626677532654,4
0.25,0.15,0.03,0.4,mu_rede_medio,0.8922846189297001,0.8477985351879512,0.936770702671449,4
0.25,0.15,0.03,0.5,atraso_relativo,2.778509924819152,1.8830947070522484,3.6739251425860555,4
0.25,0.15,0.03,0.5,taxa_omissao,0.22395833333333331,0.19086314790976747,0.25705351875689914,4
0.25,0.15,0.03,0.5,divida_latente_sobre_plano,0.07122683878873337,0.06049885878645624,0.0819548187910105,4
0.25,0.15,0.03,0.5,taxa_falha_efetiva,0.253125,0.1999807339580611,0.3062692660419389,4
0.25,0.15,0.03,0.5,fracao_porta1,0.41979166666666673,0.2805727963853058,0.5590105369480276,4
0.25,0.15,0.03,0.5,N_req,121.25,27.64637412431256,214.85362587568744,4
0.25,0.15,0.03,0.5,mu_rede_medio,0.9025698235246322,0.8596944105139387,0.9454452365353258,4
0.25,0.15,0.03,0.6,atraso_relativo,3.1151858582232794,1.8893199507504628,4.341051765696096,4
0.25,0.15,0.03,0.6,taxa_omissao,0.25625,0.24046721352995262,0.2720327864700473,4
0.25,0.15,0.03,0.6,divida_latente_sobre_plano,0.07930255580216952,0.06940388430782889,0.08920122729651016,4
0.25,0.15,0.03,0.6,taxa_falha_efetiva,0.2833333333333333,0.25040459583214736,0.3162620708345193,4
0.25,0.15,0.03,0.6,fracao_porta1,0.40520833333333334,0.3037331961030262,0.5066834705636405,4
0.25,0.15,0.03,0.6,N_req,123.6875,25.757025000747078,221.6179749992529,4
0.25,0.15,0.03,0.6,mu_rede_medio,0.9189312376344035,0.8888037956660665,0.9490586796027406,4
0.25,0.15,0.03,0.7,atraso_relativo,2.8227992900694474,1.459744969825092,4.185853610313803,4
