tau,P,B,mu_cog,mu_rede
0.492,0.5,0.5,0.775,0.994601173438238
0.493,0.5,0.5,0.775,0.9952813254336585
0.494,0.5,0.5,0.775,0.9959615313003711
0.495,0.5,0.5,0.775,0.9966417910447761
0.496,0.5,0.5,0.775,0.9973134328358209
0.497,0.5,0.5,0.775,0.9979850746268657
0.498,0.5,0.5,0.775,0.9986567164179104
0.499,0.5,0.5,0.775,0.9993283582089553
0.5,0.5,0.5,0.775,1.0
0.501,0.5,0.5,0.775,1.0
0.502,0.5,0.5,0.775,1.0
0.503,0.5,0.5,0.775,1.0
0.504,0.5,0.5,0.775,1.0
0.505,0.5,0.5,0.775,1.0
0.506,0.5,0.5,0.775,1.0
0.507,0.5,0.5,0.775,1.0
0.508,0.5,0.5,0.775,1.0
0.509,0.5,0.5,0.775,1.0
0.51,0.5,0.5,0.775,1.0
0.511,0.5,0.5,0.775,1.0
0.512,0.5,0.5,0.775,1.0
0.513,0.5,0.5,0.775,1.0
0.514,0.5,0.5,0.775,1.0
0.515,0.5,0.5,0.775,1.0
0.516,0.5,0.5,0.775,1.0
0.517,0.5,0.5,0.775,1.0
0.518,0.5,0.5,0.775,1.0
0.519,0.5,0.5,0.775,0.9999999999999998
0.52,0.5,0.5,0.775,1.0
0.521,0.5,0.5,0.775,1.0
0.522,0.5,0.5,0.775,1.0
0.523,0.5,0.5,0.775,1.0
0.524,0.5,0.5,0.775,1.0
0.525,0.5,0.5,0.775,1.0
0.526,0.5,0.5,0.775,1.0
0.527,0.5,0.5,0.775,1.0
0.528,0.5,0.5,0.775,1.0
0.529,0.5,0.5,0.775,1.0
0.53,0.5,0.5,0.775,1.0
0.531,0.5,0.5,0.775,1.0
0.532,0.5,0.5,0.775,1.0
0.533,0.5,0.5,0.775,1.0
0.534,0.5,0.5,0.775,1.0
0.535,0.5,0.5,0.775,1.0
0.536,0.5,0.5,0.775,1.0
0.537,0.5,0.5,0.775,1.0
0.538,0.5,0.5,0.775,1.0
0.539,0.5,0.5,0.775,1.0
0.54,0.5,0.5,0.775,1.0
