incremento_base,fator_transferencia,cenario,metrica,estimando,antes,depois,estatuto,media,ic95_inf,ic95_sup,N_instancias
22.5,3.0,adaptativa,atraso_relativo,observado,2.0373813983341833,1.986618395347957,COMPLETO,-0.05076300298622631,-0.07244508446085855,-0.029080921511594072,16
22.5,3.0,adaptativa,atraso_relativo,pares_completos,2.0373813983341833,1.986618395347957,COMPLETO,-0.05076300298622631,-0.07244508446085855,-0.029080921511594072,16
22.5,3.0,adaptativa,taxa_omissao,observado,0.08428819444444445,0.08324652777777779,COMPLETO,-0.001041666666666666,-0.007789590411587315,0.005706257078253984,16
22.5,3.0,adaptativa,taxa_omissao,pares_completos,0.08428819444444445,0.08324652777777779,COMPLETO,-0.001041666666666666,-0.007789590411587315,0.005706257078253984,16
22.5,3.0,adaptativa,divida_latente_sobre_plano,observado,0.02545760842423257,0.024269261293684157,COMPLETO,-0.0011883471305484095,-0.003276538080072895,0.0008998438189760762,16
22.5,3.0,adaptativa,divida_latente_sobre_plano,pares_completos,0.02545760842423257,0.024269261293684157,COMPLETO,-0.0011883471305484095,-0.003276538080072895,0.0008998438189760762,16
22.5,3.0,adaptativa,taxa_falha_efetiva,observado,0.3189236111111111,0.30538194444444444,COMPLETO,-0.013541666666666665,-0.02422047843850872,-0.00286285489482461,16
22.5,3.0,adaptativa,taxa_falha_efetiva,pares_completos,0.3189236111111111,0.30538194444444444,COMPLETO,-0.013541666666666665,-0.02422047843850872,-0.00286285489482461,16
22.5,3.0,adaptativa,fracao_porta1,observado,0.5204861111111111,0.48602430555555554,COMPLETO,-0.03446180555555556,-0.047045364423174384,-0.021878246687936732,16
22.5,3.0,adaptativa,fracao_porta1,pares_completos,0.5204861111111111,0.48602430555555554,COMPLETO,-0.03446180555555556,-0.047045364423174384,-0.021878246687936732,16
22.5,3.0,centralizada,atraso_relativo,observado,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,atraso_relativo,pares_completos,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,taxa_omissao,observado,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,taxa_omissao,pares_completos,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,divida_latente_sobre_plano,observado,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,divida_latente_sobre_plano,pares_completos,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
22.5,3.0,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,adaptativa,atraso_relativo,observado,2.0373813983341833,1.9739927294760065,COMPLETO,-0.06338866885817726,-0.07972574761642046,-0.047051590099934065,16
22.5,6.0,adaptativa,atraso_relativo,pares_completos,2.0373813983341833,1.9739927294760065,COMPLETO,-0.06338866885817726,-0.07972574761642046,-0.047051590099934065,16
22.5,6.0,adaptativa,taxa_omissao,observado,0.08428819444444445,0.08090277777777778,COMPLETO,-0.003385416666666666,-0.008484098053571969,0.0017132647202386378,16
22.5,6.0,adaptativa,taxa_omissao,pares_completos,0.08428819444444445,0.08090277777777778,COMPLETO,-0.003385416666666666,-0.008484098053571969,0.0017132647202386378,16
22.5,6.0,adaptativa,divida_latente_sobre_plano,observado,0.02545760842423257,0.02422721798438419,COMPLETO,-0.0012303904398483791,-0.003247077727880777,0.0007862968481840188,16
22.5,6.0,adaptativa,divida_latente_sobre_plano,pares_completos,0.02545760842423257,0.02422721798438419,COMPLETO,-0.0012303904398483791,-0.003247077727880777,0.0007862968481840188,16
22.5,6.0,adaptativa,taxa_falha_efetiva,observado,0.3189236111111111,0.3032986111111111,COMPLETO,-0.015625,-0.026696656673647443,-0.004553343326352559,16
22.5,6.0,adaptativa,taxa_falha_efetiva,pares_completos,0.3189236111111111,0.3032986111111111,COMPLETO,-0.015625,-0.026696656673647443,-0.004553343326352559,16
22.5,6.0,adaptativa,fracao_porta1,observado,0.5204861111111111,0.48220486111111116,COMPLETO,-0.038281249999999996,-0.05276369181332731,-0.023798808186672682,16
22.5,6.0,adaptativa,fracao_porta1,pares_completos,0.5204861111111111,0.48220486111111116,COMPLETO,-0.038281249999999996,-0.05276369181332731,-0.023798808186672682,16
22.5,6.0,centralizada,atraso_relativo,observado,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,atraso_relativo,pares_completos,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,taxa_omissao,observado,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,taxa_omissao,pares_completos,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,divida_latente_sobre_plano,observado,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,divida_latente_sobre_plano,pares_completos,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
22.5,6.0,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
